area_type,availability,location,size,society,total_sqft,bath,balcony,price,latitude,longitude
Built-up  Area,Ready To Move,Benson Town,2 BHK,Roeekbl,2400,4,2,72,12.997343,77.6036815
Plot  Area,Ready To Move,Nagappa Reddy Layout,4 BHK,ImncyTa,925,2,2,950,12.9599768,77.7154704
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Sanorpa,1415,2,2,60,12.8856913,77.5526564
Super built-up  Area,21-Oct,Channasandra,3 BHK,PrarePa,1225,3,1,69,12.9873426,77.7538033
Super built-up  Area,18-Dec,Hennur Road,2 BHK,MVisear,840,3,1,36.28,13.0351224,77.631944
Super built-up  Area,Ready To Move,Sarakki Nagar,2 BHK,Maity W,1260,2,2,69.18,12.9164567,77.5859615
Super built-up  Area,Ready To Move,Jalahalli,4 BHK,Sowerew,827,3,3,345,13.0394104,77.5197351
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,Kuownri,1370,3,2,55,12.9709537,77.5373851
Super built-up  Area,Ready To Move,Kannamangala,3 BHK,GontsAp,1725,3,3,75,13.0155506,77.7630344
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,VBownre,700,3,2,55,12.9107357,77.5829631
Built-up  Area,Ready To Move,KR Puram,2 BHK,NaensGa,800,2,1,45,13.007516,77.695935
Super built-up  Area,Ready To Move,Electronic City,4 BHK,Thessmm,2367,1,1,235,12.8487599,77.648253
Super built-up  Area,Ready To Move,Bendiganahalli,2 BHK,GMown E,1415,3,1,55,13.0683794,77.7582582
Plot  Area,Ready To Move,Rachenahalli,5 BHK,Brersld,1976,4,2,150,13.0588586,77.6232576
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,ArariGo,700,3,1,37,13.079198,77.7136366
Built-up  Area,Ready To Move,Thanisandra,2 BHK,Vicony ,1445,2,1,60,13.054713,77.6339258
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SLaceda,2082,2,3,37,12.9963995,77.7614229
Super built-up  Area,19-Dec,Thanisandra,1 BHK,Oreldhi,1140,3,1,57,13.054713,77.6339258
Super built-up  Area,Ready To Move,Kachanayakanahalli,2 BHK,Srhemay,933,2,3,69.9,12.7990299,77.6830517
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,ICoolon,1130,3,1,34,12.9136133,77.595695
Super built-up  Area,Ready To Move,Whitefield,3 BHK,SrncyRe,1555,2,1,54.79,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,AjhalNa,1420,3,2,106,12.8856913,77.5526564
Super built-up  Area,21-Dec,Shanthi Pura,2 BHK,PrarePa,896.9,4,2,34,12.9552355,77.6054076
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,ShtonDw,1035,2,1,32,12.9945793,77.5503967
Super built-up  Area,Ready To Move,Sonnenahalli,3 BHK,PhestOn,2064,1,1,340,12.9433048,77.4801187
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,DSgam S,1839,5,3,65,12.9136133,77.595695
Super built-up  Area,19-Dec,Yelahanka,3 BHK,Puarero,1200,4,2,145,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Sarjapur,1 BHK,BCivell,488,2,2,38,12.9116225,77.6388622
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,Coa 3t ,993,3,1,50,13.011473,77.7099343
Super built-up  Area,19-Dec,HSR Layout,3 BHK,PaontWa,1225,2,1,104,12.9116225,77.6388622
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,NRosete,825,2,1,46,13.054713,77.6339258
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Bhmesy ,1800,2,2,66,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,SMuilan,1167,2,2,36,12.9945793,77.5503967
Super built-up  Area,Ready To Move,Bellandur,3 BHK,SradeSr,650,4,1,125,12.9361208,77.6671843
Super built-up  Area,Ready To Move,Devanahalli,3 BHK,CVnetnc,675,1,2,62,13.2483502,77.7134377
Carpet  Area,18-Dec,KR Puram,2 BHK,Rosha I,720,3,2,78.74,13.007516,77.695935
Built-up  Area,Ready To Move,Whitefield,2 BHK,SViseun,4800,1,0,40,12.9963995,77.7614229
Plot  Area,Ready To Move,Keshava Nagar,4 BHK,MIntare,1330,3,2,225,12.9598176,77.5335655
Super built-up  Area,Ready To Move,Begur Road,3 BHK,ETens G,1320,2,1,160,12.8856188,77.6252418
Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,Dhalsh ,1770,2,2,44,13.0978039,77.5811889
Built-up  Area,Ready To Move,Gunjur Palya,1 BHK,KHatsFl,2100,2,1,20,12.9228378,77.7188315
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Evvan V,1419.59,2,2,42,12.9959233,77.7192796
Super built-up  Area,Ready To Move,Sompura,2 BHK,Siiewag,1400,3,1,45,12.8778283,77.4972385
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Suiseit,1536,2,2,32,12.8463512,77.6690975
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SJmesst,1710,1,2,92,12.8856913,77.5526564
Super built-up  Area,21-Mar,Byatarayanapura,2 BHK,GolusLi,2400,2,2,63,13.0666526,77.591967
Super built-up  Area,18-Aug,Sarjapur  Road,1 BHK,Hisic G,1773.5,3,2,50,12.9239386,77.6396966
Built-up  Area,Ready To Move,Anwar Layout,1 BHK,Shthi S,1342,2,1,27,12.9803398,77.6304694
Super built-up  Area,18-Apr,Whitefield,1 BHK,UKicte ,938,3,1,32.39,12.9963995,77.7614229
Plot  Area,Ready To Move,Uttarahalli,3 BHK,Toindls,2439,2,0,600,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Aklia R,1665,2,1,58,12.9357366,77.624081
Super built-up  Area,Ready To Move,Banashankari,2 BHK,Proodt ,1091,3,1,160,12.9278196,77.556621
Super built-up  Area,18-Apr,Prithvi Layout,3 BHK,Bregae ,1346,2,1,108,12.977178,77.7436455
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Prigh L,1720,2,1,125,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Kodihalli,3 BHK,SoapeSu,3675,5,2,65,12.9624481,77.6463772
Super built-up  Area,Ready To Move,Kannamangala,3 BHK,KAMESRI,1299,2,2,81,13.0155506,77.7630344
Super built-up  Area,18-Dec,Koramangala,3 BHK,Sonue A,1491,2,0,107,12.9357366,77.624081
Built-up  Area,Ready To Move,JP Nagar,3 BHK,K ncy R,1125,2,3,210,12.9096941,77.5866067
Carpet  Area,Ready To Move,Sarjapur  Road,3 BHK,Saacy A,1275,2,2,196,12.9239386,77.6396966
Super built-up  Area,18-Mar,Electronic City,3 BHK,PualeSk,10000,2,1,102.92,12.8487599,77.648253
Super built-up  Area,18-Apr,Kanakapura,2 BHK,Prarkun,1330,4,2,72,12.875978,77.5441292
Super built-up  Area,19-Dec,Budigere,1 BHK,GoityEt,770,2,3,50,13.1351506,77.7471989
Super built-up  Area,Ready To Move,Kanakpura Road,4 BHK,Pride S,3930,2,3,170,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Bommanahalli,3 BHK,Puestol,2569,2,1,78,12.9089453,77.6239038
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Alarke ,1707,2,1,40,12.9239386,77.6396966
Super built-up  Area,18-Apr,Rajaji Nagar,2 BHK,PualeSk,1240,3,1,74.03,12.9945793,77.5503967
Super built-up  Area,Ready To Move,Brookefield,3 BHK,Brway G,1300,4,2,224,12.9652094,77.717936
Built-up  Area,Ready To Move,Hebbal,4 BHK,Goodsrb,1700,3,2,176,13.0382184,77.5919
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Prersis,1383,2,2,97,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Doctors Layout,3 BHK,Niareum,2072,3,2,85,13.0053365,77.6581854
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Mavelr ,615,2,1,55,12.8487599,77.648253
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Emodsel,1116,2,1,70,12.9239386,77.6396966
Plot  Area,Ready To Move,Old Madras Road,5 BHK,AdlasRe,1639,2,2,975,13.0082277,77.6941931
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Sastaat,933,3,2,74,12.8487599,77.648253
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,GMown E,2289,2,3,38,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Harlur,4 BHK,Maana E,910,2,2,330,12.9058923,77.675465
Built-up  Area,Ready To Move,Whitefield,4 BHK,Prncyrn,1200,2,1,175,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Prsun S,1110,3,2,115,13.0184718,77.5577542
Super built-up  Area,18-Apr,JP Nagar,3 BHK,Sahtsva,1800,2,2,83,12.9096941,77.5866067
Super built-up  Area,19-Dec,Ambalipura,2 BHK,Shestut,1005,2,2,91.65,12.9173303,77.667161
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,SJodsed,660,2,2,76,13.0176937,77.5555009
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,IBityin,1100,2,2,76.18,13.0170955,77.4829741
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,Prtanha,1590,2,2,151,13.0394104,77.5197351
Super built-up  Area,Ready To Move,KR Puram,1 BHK,Vaniai ,1161,2,3,46,13.007516,77.695935
Super built-up  Area,Ready To Move,Whitefield,2 BHK,CiaksRi,1644,2,1,45,12.9963995,77.7614229
Super built-up  Area,18-Dec,Thanisandra,3 BHK,Asarqz ,1205,1,1,107,13.054713,77.6339258
Super built-up  Area,18-May,Hosur Road,1 BHK,Bhmesy ,1270,2,2,61,12.9193621,77.6214458
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,Saageat,840,3,1,180,13.0367725,77.6549479
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Prodsth,1339,3,1,36,13.016672,77.6548126
Plot  Area,Ready To Move,Electronic City,2 BHK,Grensak,4303,2,2,73,12.8487599,77.648253
Super built-up  Area,Ready To Move,Hormavu,2 BHK,YCnce R,850,2,3,39.9,13.016672,77.6548126
Plot  Area,18-Mar,AECS Layout,3 BHK,Prageta,1600,2,1,204,13.0311884,77.5753526
Super built-up  Area,Ready To Move,Electronic City,2 BHK,CMard B,1312,4,1,55,12.8487599,77.648253
Super built-up  Area,Ready To Move,Basapura,2 BHK,Itelaa ,3000,2,2,23,12.8686664,77.6441741
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Krtiqa ,1300,4,2,60,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Hosa Road,3 BHK,Aklia R,5000,2,2,57,12.8816077,77.6448181
Super built-up  Area,18-Jul,Electronic City,2 BHK,Mahesr ,1614,3,1,55.15,12.8487599,77.648253
Super built-up  Area,17-Jun,1st Phase JP Nagar,3 BHK,Prarkun,1182,3,2,92.59,12.9150543,77.5988508
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,NCaveun,1053,1,2,85,12.932582,77.5162034
Super built-up  Area,Ready To Move,Jigani,2 BHK,Ely 3Em,2000,4,1,62,12.7756195,77.6324661
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,RKntsrt,1940,3,1,35,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,PuandHi,1590,2,2,63,13.0170955,77.4829741
Super built-up  Area,Ready To Move,Haralur Road,4 BHK,Prtanha,1260,2,2,300,12.9018012,77.6641767
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Prityel,1080,2,1,27,12.9136133,77.595695
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Eladero,1035,3,2,110,12.8487599,77.648253
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,Puodse ,1200,5,1,56.5,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Electronic City Phase II,4 BHK,VSaya A,1300,2,2,134,12.8463512,77.6690975
Built-up  Area,Ready To Move,Ambedkar Nagar,2 BHK,Prngshi,1330,5,2,28,12.9490851,77.6184873
Plot  Area,Ready To Move,Kadugodi,4 BHK,Thessrm,1210,2,2,536,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Basava Nagar,3 BHK,InadeAr,1900,2,3,59,12.9854757,77.5887667
Super built-up  Area,Ready To Move,Avalahalli,3 BHK,Prvaska,1410,3,1,60.1,12.9437456,77.5402044
Super built-up  Area,Ready To Move,Gubbalala,2 BHK,PyonsCa,1469,2,2,46.29,12.8856635,77.5416809
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,MauilTr,986,1,1,125,12.8463512,77.6690975
Built-up  Area,18-May,Hennur Road,3 BHK,SNbay G,1460,4,1,116,13.0351224,77.631944
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar,3 BHK,Shxorm ,1260,2,3,105,12.932582,77.5162034
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Keave E,1345,4,2,62,13.054713,77.6339258
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Prityel,980,2,3,65,13.0184718,77.5577542
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mairer ,1164,1,1,39,13.0351224,77.631944
Super built-up  Area,18-Aug,Kanakpura Road,2 BHK,DSeldpr,929,3,1,36,12.8856913,77.5526564
Super built-up  Area,20-Oct,Yelahanka,3 BHK,PrarePa,1172,2,1,69,13.1006982,77.5963454
Super built-up  Area,19-Apr,Kaggalipura,2 BHK,LedorSa,1362,3,2,93.65,12.8089587,77.5097006
Super built-up  Area,Ready To Move,Kaval Byrasandra,3 BHK,Baowsig,672,2,1,65,13.0200235,77.6092887
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SyOnen ,1746,3,1,65,12.9490851,77.6184873
Super built-up  Area,Ready To Move,Narayanapura,3 BHK,BrlonAv,1532,3,2,90,13.0716969,77.6193949
Super built-up  Area,Ready To Move,Varthur,2 BHK,AriosHe,1250,3,2,99.14,12.9406508,77.746988
Super built-up  Area,Ready To Move,RBI Layout,2 BHK,Hirio L,1188,3,3,30,12.8884396,77.580509
Super built-up  Area,Ready To Move,Chandra Layout,3 BHK,Sasicha,3565,2,2,87,12.9590406,77.5250913
Super built-up  Area,19-Jan,Chandapura,3 BHK,TiaksAa,1170,5,2,85.05,12.8009043,77.7114908
Super built-up  Area,Ready To Move,Panathur,3 BHK,Riiew L,2507,2,1,39.5,12.9351457,77.7047541
Super built-up  Area,Ready To Move,Kudlu Gate,2 BHK,Isncasa,1061,2,2,57,12.8899174,77.6396808
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,Brlms P,1333,3,1,75,12.8963963,77.5377864
Super built-up  Area,Ready To Move,Budigere,2 BHK,Prldsri,1691,2,2,51,13.1351506,77.7471989
Super built-up  Area,20-Jun,Gunjur,2 BHK,Brstaue,747,2,2,56.725,12.9209772,77.7361016
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,DSerste,2030,3,1,62.63,13.0176937,77.5555009
Super built-up  Area,Ready To Move,Brookefield,1 BHK,IBityin,1012,2,2,36.85,12.9652094,77.717936
Super built-up  Area,Ready To Move,Harlur,3 BHK,Stlomg ,1765,3,2,115,12.9058923,77.675465
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,SrEndPo,1110,2,0,65,13.0232471,77.5883569
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,AlourAr,1044,3,2,65,13.054713,77.6339258
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SLaceda,1518,2,2,39,12.9963995,77.7614229
Built-up  Area,19-Oct,Marathahalli,4 BHK,NVaree ,1300,3,1,218,12.9552572,77.6984163
Super built-up  Area,19-Jan,Kasturi Nagar,2 BHK,PrensKe,1798,2,2,85,13.0044979,77.6603231
Super built-up  Area,Ready To Move,Babusapalaya,4 BHK,Radenta,866.28,3,2,155,13.0283523,77.650469
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,ARngsd ,3410,3,2,34,12.9116225,77.6388622
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Sondaka,1179,2,1,50,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Klark L,3600,3,2,119,13.054713,77.6339258
Super built-up  Area,19-Dec,Thanisandra,1 BHK,Cotaror,1125,3,3,34.355,13.054713,77.6339258
Super built-up  Area,19-May,Balagere,3 BHK,G conTh,1190,2,2,125,12.9377243,77.7280705
Super built-up  Area,18-Mar,7th Phase JP Nagar,2 BHK,Soresea,1761,3,2,70,12.9136133,77.595695
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Eladero,509,3,1,118,12.8565317,77.5877237
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Srtusi ,1852,3,3,36.25,12.9116225,77.6388622
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Peles P,1045,1,1,36,12.9652094,77.717936
Super built-up  Area,Ready To Move,KR Puram,3 BHK,Baentgi,3535,2,2,80,13.007516,77.695935
Super built-up  Area,Ready To Move,Seetharampalya,3 BHK,SLontel,1800,4,1,57,12.9813697,77.7086129
Super built-up  Area,Ready To Move,KR Puram,3 BHK,Sapazta,1397,2,0,73,13.007516,77.695935
Carpet  Area,Ready To Move,Whitefield,2 BHK,Jahidva,2050,3,2,36.38,12.9963995,77.7614229
Super built-up  Area,18-Feb,Singasandra,4 BHK,BrlisCo,1335,2,3,253,12.8810223,77.6490068
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,EAvarum,1255,2,2,56,12.9945793,77.5503967
Super built-up  Area,Ready To Move,Uttarahalli,5 BHK,PhestOn,1140,4,2,510,12.9055682,77.5455438
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Aklia R,2376,3,1,48,12.91241,77.591056
Built-up  Area,Ready To Move,Jakkur,2 BHK,Niaveha,663,2,1,61.8,13.0784743,77.6068938
Super built-up  Area,19-Sep,Electronic City,3 BHK,Ceezey ,1450,2,2,84.52,12.8487599,77.648253
Super built-up  Area,19-Jan,Ambedkar Nagar,1 BHK,Ardaseo,2200,2,2,20,12.9490851,77.6184873
Super built-up  Area,Ready To Move,Varthur,3 BHK,SoechHa,1740,2,1,122,12.9406508,77.746988
Super built-up  Area,20-Dec,Kaverappa Layout,2 BHK,Myple M,1525,2,1,40.65,12.9907651,77.5945915
Super built-up  Area,Ready To Move,Omkar Nagar,4 BHK,Varve R,2470,2,3,215,12.89,77.5973052
Super built-up  Area,Ready To Move,Chikkadunnasandra,4 BHK,Shinei ,1250,2,1,82,12.8501962,77.7742942
Super built-up  Area,Ready To Move,Balagere,3 BHK,Kr 10Ca,1400,3,0,52,12.9377243,77.7280705
Carpet  Area,Ready To Move,Sarjapur  Road,3 BHK,E onsg ,1600,6,1,135,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Hebbal,2 BHK,DSndsod,1060,3,3,95,13.0382184,77.5919
Super built-up  Area,18-Dec,Thanisandra,3 BHK,Magiaya,1296,5,1,77.68,13.054713,77.6339258
Super built-up  Area,Ready To Move,Hosakerehalli,2 BHK,SLaceda,2300,2,0,59,12.9301881,77.5378332
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Taonte ,2100,2,1,240,13.054713,77.6339258
Super built-up  Area,19-Mar,Kanakpura Road,1 BHK,Bhe 2ko,850,2,1,46,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,JRrnauv,1880,2,3,60.9,13.0027353,77.5703253
Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Sariaat,1060,3,1,275,12.9269039,77.6701877
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Sravea ,2041,3,1,80,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Shthi S,1184,3,1,63,13.0382184,77.5919
Super built-up  Area,19-Dec,Hormavu,4 BHK,Raard B,1411,2,3,192,13.016672,77.6548126
Super built-up  Area,Ready To Move,Kothanur,2 BHK,Savar S,1702,4,1,65,13.0613601,77.6493895
Super built-up  Area,Ready To Move,Ittamadu,2 BHK,YMhenLi,1185,2,1,70,12.9250047,77.5444573
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Naory G,1545,3,2,100,12.8487599,77.648253
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,GMown E,1515,3,2,55,12.8856913,77.5526564
Super built-up  Area,19-Jul,Karuna Nagar,2 BHK,Soazak ,1300,2,1,105,12.9827061,77.6251679
Super built-up  Area,Ready To Move,3rd Block Koramangala,3 BHK,Pantsce,1720,2,2,69,12.9282918,77.6254034
Super built-up  Area,Ready To Move,2nd Phase JP Nagar,3 BHK,Aplanje,1540,4,1,270,12.9104179,77.5950737
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Sharlth,710,2,1,42.5,12.8963963,77.5377864
Super built-up  Area,Ready To Move,Kenchenahalli,3 BHK,Mayne A,1100,2,2,110,12.9267912,77.5132978
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Unateit,3200,2,2,52,13.0351224,77.631944
Super built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,SaireSa,1250,2,2,138,12.9678103,77.6715478
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MCrds S,1584.01,3,2,62,13.054713,77.6339258
Super built-up  Area,18-Apr,Thanisandra,3 BHK,Bhe 2ko,1485,3,1,100,13.054713,77.6339258
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Soitya ,1100,2,1,120,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,BKideor,1880,2,1,45,12.8856913,77.5526564
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,Vanusn ,1640,2,1,65,12.913332,77.5783216
Super built-up  Area,Ready To Move,Jigani,3 BHK,NCierar,1165,1,3,135,12.7756195,77.6324661
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,DLhtsen,1110,3,1,55,13.0082277,77.6941931
Super built-up  Area,Ready To Move,Kuvempu Nagar,3 BHK,Brglede,4000,2,2,106,12.9144469,77.6137532
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Srersas,1300,3,1,150,12.8487599,77.648253
Super built-up  Area,21-Dec,Thanisandra,1 BHK,KonteiT,1232,3,1,40.42,13.054713,77.6339258
Super built-up  Area,Ready To Move,Sri Balaji Krupa Layout,2 BHK,SLaceda,1222,4,2,38,12.8732692,77.6460654
Built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,KrodsNo,1155,2,1,270,12.9504037,77.6033713
Built-up  Area,Ready To Move,Hegde Nagar,2 BHK,Saavenc,1200,2,3,48,13.0720352,77.6333905
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Sonosty,1517,3,1,104,12.9846713,77.6790908
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SrncyRe,870,2,2,70,13.0351224,77.631944
Built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,3019,3,3,78,13.0351224,77.631944
Built-up  Area,19-Dec,Bannerghatta Road,4 BHK,Ciris P,1345,2,2,154,12.9504037,77.6033713
Super built-up  Area,19-Jul,Basavanapura,3 BHK,Uncioe ,3800,3,2,105,13.0169075,77.7207063
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Papusa ,1255,6,3,65,12.9229728,77.4842926
Built-up  Area,Ready To Move,St. John's Road,2 BHK,MMowsik,1810,2,2,43,12.9865503,77.6157812
Built-up  Area,Ready To Move,Haralur Road,4 BHK,Soy 1Iv,1185,2,0,630,12.9018012,77.6641767
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,NDionas,1350,6,2,75,13.0351224,77.631944
Super built-up  Area,18-Aug,Sarjapur  Road,2 BHK,Puachal,1650,3,3,69.61,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Varthur,3 BHK,GCiewty,1748,2,0,68,12.9406508,77.746988
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,MKllei ,1170,2,2,39,13.0185287,77.6549166
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Bhave E,3420,2,0,45,13.1006982,77.5963454
Super built-up  Area,19-Dec,Electronic City,3 BHK,Goues A,1610,3,0,71.28,12.8487599,77.648253
Built-up  Area,Ready To Move,Yelahanka,2 BHK,Itelaa ,1870,2,1,24,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Niareum,1510,3,2,190,12.9963995,77.7614229
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SearkHy,1500,3,0,58,12.9781922,77.7246451
Super built-up  Area,Ready To Move,Hennur,4 BHK,AkoreEn,1149,2,2,170,13.037077,77.6413572
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,Shateor,1948,2,2,52.32,12.9781922,77.7246451
Built-up  Area,Ready To Move,Thanisandra,2 BHK,Loe 1st,1242,2,2,65,13.054713,77.6339258
Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,MenueNo,1268,3,2,45,12.9876393,77.7377718
Super built-up  Area,Ready To Move,Budigere,2 BHK,ShaleSp,1255,2,2,68,13.1351506,77.7471989
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,ManceEl,1362,2,2,126,13.0351224,77.631944
Super built-up  Area,Ready To Move,Kengeri Satellite Town,3 BHK,ChionCo,984,2,2,103,12.9229728,77.4842926
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Rooodre,1089,3,1,50,12.9239386,77.6396966
Built-up  Area,Ready To Move,Hulimavu,4 BHK,Saitya ,1345,2,2,225,12.8773486,77.6028031
Super built-up  Area,18-Jul,Frazer Town,3 BHK,Rosha I,950,2,1,84.53,12.9975851,77.6136744
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Bamita ,1068,2,3,180,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,Mades G,860,2,3,110,12.9968412,77.6928386
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,Neisei ,1756,2,3,70,12.9732913,77.6404672
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Goareir,1205,3,3,130,13.054713,77.6339258
Built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Bhmesy ,1800,3,3,129,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,SJityaz,1604,2,1,78,12.9433048,77.4801187
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,Skacak ,2732,2,3,58,13.0120218,77.6777817
Super built-up  Area,Ready To Move,Gunjur,2 BHK,Bhmesa ,1015,3,3,65,12.9209772,77.7361016
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,DSerste,1050,3,2,62.63,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Hosa Road,3 BHK,Puops R,1248.52,2,2,140,12.8816077,77.6448181
Super built-up  Area,18-May,Uttarahalli,2 BHK,SStusan,1656,4,1,32.67,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Aklia R,1451,2,2,57,12.8089587,77.5097006
Super built-up  Area,Ready To Move,HBR Layout,2 BHK,Baowsig,4395,2,2,45,13.031992,77.6280789
Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,Mantsce,4600,2,1,43,13.0978039,77.5811889
Built-up  Area,Ready To Move,Yelahanka,2 BHK,KHatsFl,1340,2,2,31,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Pyikad ,1100,2,3,66.73,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Banashankari,2 BHK,SSthamh,6000,2,3,41,12.9278196,77.556621
Super built-up  Area,Ready To Move,Hormavu,3 BHK,Bregae ,1700,2,1,125,13.016672,77.6548126
